,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Index Right,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Point of Regard Right X [px],Point of Regard Right Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
6188,6188,3134816.674,12:55:01:000,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Information,Separator,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,neutre2.avi
6189,6189,3134824.121,12:55:01:007,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,-,-,16.9093,16.9093,4.1879,0.0000,0.0000,-,-,-,-,0.0000,0.0000,0.0000,-101.1514,-84.7905,669.3786,1107.8282,836.4794,-,-,-,-,-,-,-,-
6190,6190,3134844.121,12:55:01:027,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,-,-,16.9180,16.9180,4.1848,0.0000,0.0000,-,-,-,-,0.0000,0.0000,0.0000,-101.0613,-84.6989,668.5240,1107.7911,836.6044,-,-,-,-,-,-,-,-
6191,6191,3134864.009,12:55:01:047,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,-,-,16.9101,16.9101,4.1774,0.0000,0.0000,-,-,-,-,0.0000,0.0000,0.0000,-100.9362,-84.5909,667.6508,1107.9016,836.5331,-,-,-,-,-,-,-,-
6192,6192,3134883.877,12:55:01:067,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,-,-,16.9245,16.9245,4.1783,0.0000,0.0000,-,-,-,-,0.0000,0.0000,0.0000,-100.9168,-84.5498,667.2284,1107.9401,836.4095,-,-,-,-,-,-,-,-
6193,6193,3134903.758,12:55:01:087,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,-,-,16.6651,16.6651,4.1104,0.0000,0.0000,-,-,-,-,0.0000,0.0000,0.0000,-100.7581,-84.4051,666.4887,1107.8095,836.1743,-,-,-,-,-,-,-,-
6194,6194,3134923.638,12:55:01:107,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,-,-,16.8820,16.8820,4.1603,0.0000,0.0000,-,-,-,-,0.0000,0.0000,0.0000,-100.7152,-84.2852,666.0224,1107.9160,835.9014,-,-,-,-,-,-,-,-
6195,6195,3134943.52,12:55:01:127,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,-,-,17.1260,17.1260,4.2190,0.0000,0.0000,-,-,-,-,0.0000,0.0000,0.0000,-100.7191,-84.2683,665.9138,1107.7666,836.0866,-,-,-,-,-,-,-,-
6196,6196,3134963.385,12:55:01:147,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,-,-,17.1675,17.1675,4.2245,0.0000,0.0000,-,-,-,-,0.0000,0.0000,0.0000,-100.6240,-84.2072,665.1847,1107.9142,836.0696,-,-,-,-,-,-,-,-
6197,6197,3134983.377,12:55:01:167,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,-,-,16.9463,16.9463,4.1700,0.0000,0.0000,-,-,-,-,0.0000,0.0000,0.0000,-100.6554,-84.2100,665.0537,1108.0624,836.0747,-,-,-,-,-,-,-,-
